	masa_A
t	θ
0,000000E0	1,330524E1
1,664444E-2	1,330524E1
3,328889E-2	1,296628E1
5,004444E-2	1,235066E1
6,668889E-2	1,183011E1
8,333333E-2	1,091411E1
9,997778E-2	9,555520E0
1,166222E-1	7,852582E0
1,332667E-1	6,034366E0
1,499111E-1	4,137088E0
1,665556E-1	1,587491E0
1,832000E-1	1,220469E0
1,998444E-1	1,220469E0
2,164889E-1	1,220469E0
2,331333E-1	1,220469E0
2,497778E-1	1,220469E0
2,664222E-1	1,220469E0
2,830667E-1	1,220469E0
2,997111E-1	1,220469E0
3,163556E-1	1,220469E0
3,330000E-1	1,220469E0
3,496444E-1	1,220469E0
3,662889E-1	1,220469E0
3,829333E-1	1,220469E0
3,995778E-1	1,220469E0
4,162222E-1	1,220469E0
4,328667E-1	1,220469E0
4,495111E-1	1,220469E0
4,661556E-1	1,220469E0
4,828000E-1	3,750773E0
4,994444E-1	5,325190E0
5,160889E-1	6,902557E0
5,327333E-1	8,268973E0
5,493778E-1	9,093404E0
5,660222E-1	9,651877E0
5,826667E-1	1,017582E1
5,993111E-1	1,046376E1
6,159556E-1	1,043114E1
6,326000E-1	9,711849E0
6,492444E-1	9,252491E0
6,658889E-1	8,814652E0
6,825333E-1	7,208300E0
6,991778E-1	6,039456E0
7,158222E-1	4,205185E0
7,324667E-1	2,357351E0
7,491111E-1	2,487192E0
7,657556E-1	2,487192E0
7,824000E-1	2,487192E0
7,990444E-1	2,487192E0
8,156889E-1	2,487192E0
8,324444E-1	2,487192E0
8,490889E-1	2,487192E0
8,657333E-1	2,487192E0
8,823778E-1	2,487192E0
8,990222E-1	2,487192E0
9,156667E-1	2,487192E0
9,323111E-1	2,487192E0
9,489556E-1	2,487192E0
9,656000E-1	2,487192E0
9,822444E-1	2,487192E0
9,988889E-1	3,865074E0
1,015533E0	5,565257E0
1,032178E0	7,113337E0
1,048822E0	8,136653E0
1,065467E0	8,934415E0
1,082111E0	9,872709E0
1,098756E0	1,010009E1
1,115400E0	1,009431E1
1,132044E0	9,471313E0
1,148689E0	8,748828E0
1,165333E0	7,781474E0
1,181978E0	6,405394E0
1,198622E0	4,824418E0
1,215267E0	3,527147E0
1,231911E0	3,488159E0
1,248556E0	3,488159E0
1,265200E0	3,488159E0
1,281844E0	3,488159E0
1,298489E0	3,488159E0
1,315133E0	3,488159E0
1,331778E0	3,488159E0
1,348422E0	3,488159E0
1,365067E0	3,488159E0
1,381711E0	3,488159E0
1,398356E0	3,488159E0
1,415000E0	3,488159E0
1,431644E0	3,488159E0
1,448289E0	5,111959E0
1,464933E0	6,529992E0
1,481578E0	7,620002E0
1,498222E0	8,277374E0
1,514867E0	8,670759E0
1,531511E0	9,063321E0
1,548156E0	9,025448E0
1,564800E0	8,623106E0
1,581444E0	7,832226E0
1,598089E0	6,891661E0
1,614733E0	4,780449E0
1,631378E0	3,753478E0
1,648022E0	3,843340E0
1,664667E0	3,843340E0
1,681311E0	3,843340E0
1,698067E0	3,843340E0
1,714711E0	3,843340E0
1,731356E0	3,843340E0
1,748000E0	3,843340E0
1,764644E0	3,843340E0
1,781289E0	3,843340E0
1,797933E0	3,843340E0
1,814578E0	3,843340E0
1,831222E0	5,237348E0
1,847867E0	6,041024E0
1,864511E0	7,273022E0
1,881156E0	7,796284E0
1,897800E0	7,992176E0
1,914444E0	8,024806E0
1,931089E0	7,796284E0
1,947733E0	7,039658E0
1,964378E0	5,712704E0
1,981022E0	4,218735E0
1,997667E0	3,922479E0
2,014311E0	3,922479E0
2,030956E0	3,922479E0
2,047600E0	3,922479E0
2,064244E0	3,922479E0
2,080889E0	3,922479E0
2,097533E0	3,922479E0
2,114178E0	3,922479E0
2,130822E0	3,922479E0
2,147467E0	3,922479E0
2,164111E0	4,873451E0
2,180756E0	5,880294E0
2,197400E0	6,698315E0
2,214044E0	6,961371E0
2,230689E0	7,027089E0
2,247333E0	7,027089E0
2,263978E0	6,321551E0
2,280622E0	5,321289E0
2,297267E0	4,673750E0
2,313911E0	4,640922E0
2,330556E0	4,640922E0
2,347200E0	4,640922E0
2,363844E0	4,640922E0
2,380489E0	4,640922E0
2,397133E0	4,640922E0
2,413889E0	4,640922E0
2,430533E0	5,034652E0
2,447178E0	5,591612E0
2,463822E0	6,114845E0
2,480467E0	6,310798E0
2,497111E0	6,310798E0
2,513756E0	6,042576E0
2,530400E0	5,124192E0
2,547044E0	4,282945E0
2,563689E0	4,282945E0
2,580333E0	4,282945E0
2,596978E0	4,282945E0
2,613622E0	4,282945E0
2,630267E0	4,282945E0
2,646911E0	4,282945E0
2,663556E0	4,875476E0
2,680200E0	5,621121E0
2,696844E0	5,719234E0
2,713489E0	5,719234E0
2,730133E0	5,359324E0
2,746778E0	4,671068E0
2,763422E0	4,408508E0
2,780067E0	4,408508E0
2,796711E0	4,408508E0
2,813356E0	4,408508E0
2,830000E0	4,408508E0
2,846644E0	4,408508E0
2,863289E0	4,900647E0
2,879933E0	5,162829E0
2,896578E0	5,359324E0
2,913222E0	5,359324E0
2,929867E0	4,873451E0
2,946511E0	4,347832E0
2,963156E0	4,347832E0
2,979800E0	4,347832E0
2,996444E0	4,347832E0
3,013089E0	4,347832E0
3,029733E0	4,610739E0
3,046378E0	4,807791E0
3,063022E0	4,577886E0
3,079667E0	4,183422E0
3,096311E0	4,016632E0
3,112956E0	4,016632E0
3,129600E0	4,016632E0
