	masa_A
t	θ
0,000000E0	1,055421E1
1,664444E-2	1,005691E1
3,328889E-2	9,433220E0
5,004444E-2	8,438739E0
6,668889E-2	7,798347E0
8,333333E-2	6,639261E0
9,997778E-2	5,273905E0
1,166222E-1	3,299449E0
1,332667E-1	9,892980E-1
1,499111E-1	3,333673E-1
1,665556E-1	-1,995740E-1
1,832000E-1	-1,995740E-1
1,998444E-1	-1,995740E-1
2,164889E-1	-1,995740E-1
2,331333E-1	-1,995740E-1
2,497778E-1	-1,995740E-1
2,664222E-1	-1,995740E-1
2,830667E-1	-1,995740E-1
2,997111E-1	-1,995740E-1
3,163556E-1	-1,995740E-1
3,330000E-1	-1,995740E-1
3,496444E-1	-1,995740E-1
3,662889E-1	-1,995740E-1
3,829333E-1	-1,995740E-1
3,995778E-1	-1,995740E-1
4,162222E-1	8,963694E-1
4,328667E-1	2,353787E0
4,495111E-1	3,885117E0
4,661556E-1	4,994261E0
4,828000E-1	5,979396E0
4,994444E-1	6,440401E0
5,160889E-1	6,684601E0
5,327333E-1	6,747449E0
5,493778E-1	6,621803E0
5,660222E-1	6,196478E0
5,826667E-1	5,647242E0
5,993111E-1	4,865272E0
6,159556E-1	3,628270E0
6,326000E-1	2,262423E0
6,492444E-1	8,680792E-1
6,658889E-1	-1,113523E-1
6,825333E-1	-1,113523E-1
6,991778E-1	-1,113523E-1
7,158222E-1	-1,113523E-1
7,324667E-1	-1,113523E-1
7,491111E-1	-1,113523E-1
7,657556E-1	-1,113523E-1
7,825111E-1	-1,113523E-1
7,991556E-1	-1,113523E-1
8,158000E-1	-1,113523E-1
8,324444E-1	-1,113523E-1
8,490889E-1	-1,113523E-1
8,657333E-1	-1,113523E-1
8,823778E-1	-1,113523E-1
8,990222E-1	1,602514E0
9,156667E-1	2,945411E0
9,323111E-1	3,782126E0
9,489556E-1	5,013546E0
9,656000E-1	5,288494E0
9,822444E-1	5,072837E0
9,988889E-1	4,862749E0
1,015533E0	4,292333E0
1,032178E0	3,426327E0
1,048822E0	2,103297E0
1,065467E0	8,016498E-1
1,082111E0	2,711024E-1
1,098756E0	2,711024E-1
1,115400E0	2,711024E-1
1,132044E0	2,711024E-1
1,148689E0	2,711024E-1
1,165333E0	2,711024E-1
1,181978E0	2,711024E-1
1,198622E0	2,711024E-1
1,215267E0	2,711024E-1
1,231911E0	2,711024E-1
1,248556E0	2,711024E-1
1,265200E0	2,711024E-1
1,281844E0	1,420927E0
1,298489E0	2,494373E0
1,315133E0	3,299116E0
