	masa_B
t	θ
0,000000E0	3,076207E-1
1,664444E-2	3,076207E-1
3,328889E-2	3,076207E-1
4,993333E-2	3,076207E-1
6,657778E-2	3,076207E-1
8,322222E-2	3,076207E-1
9,986667E-2	3,076207E-1
1,165111E-1	3,076207E-1
1,331556E-1	3,076207E-1
1,498000E-1	3,076207E-1
1,664444E-1	3,076207E-1
1,830889E-1	7,007930E-1
1,997333E-1	3,041968E0
2,163778E-1	4,350424E0
2,330222E-1	5,990881E0
2,497778E-1	7,334015E0
2,664222E-1	8,256915E0
2,830667E-1	8,748893E0
2,997111E-1	9,300174E0
3,163556E-1	9,968436E0
3,330000E-1	1,022479E1
3,496444E-1	9,942595E0
3,662889E-1	9,599144E0
3,829333E-1	8,923214E0
3,995778E-1	8,119628E0
4,162222E-1	6,903847E0
4,328667E-1	5,514095E0
4,495111E-1	4,270399E0
4,661556E-1	2,122284E0
4,828000E-1	1,633062E-1
4,994444E-1	-4,032502E-1
5,160889E-1	-4,032502E-1
5,327333E-1	-4,032502E-1
5,493778E-1	-4,032502E-1
5,660222E-1	-4,032502E-1
5,826667E-1	-4,032502E-1
5,993111E-1	-4,032502E-1
6,159556E-1	-4,032502E-1
6,326000E-1	-4,032502E-1
6,492444E-1	-4,032502E-1
6,658889E-1	-4,032502E-1
6,825333E-1	-4,032502E-1
6,991778E-1	-4,032502E-1
7,158222E-1	-4,032502E-1
7,324667E-1	-4,032502E-1
7,491111E-1	-4,032502E-1
7,657556E-1	-8,337823E-2
7,824000E-1	2,297617E0
7,990444E-1	3,886546E0
8,156889E-1	4,852312E0
8,323333E-1	5,863531E0
8,489778E-1	6,401374E0
8,656222E-1	6,805721E0
8,822667E-1	7,222637E0
8,989111E-1	6,982298E0
9,155556E-1	6,521497E0
9,322000E-1	5,971564E0
9,488444E-1	5,421961E0
9,654889E-1	4,278498E0
9,822444E-1	2,939093E0
9,988889E-1	1,174569E0
1,015533E0	-2,076341E-1
1,032178E0	-4,304459E-1
1,048822E0	-4,304459E-1
1,065467E0	-4,304459E-1
