	masa_B
t	θ
0,000000E0	9,630102E-1
1,664444E-2	9,630102E-1
3,328889E-2	9,630102E-1
4,993333E-2	9,630102E-1
6,657778E-2	9,630102E-1
8,322222E-2	9,630102E-1
9,986667E-2	9,630102E-1
1,165111E-1	9,630102E-1
1,331556E-1	8,862971E-1
1,498000E-1	2,155791E0
1,664444E-1	4,438982E0
1,830889E-1	6,093008E0
1,997333E-1	8,040156E0
2,163778E-1	9,357423E0
2,330222E-1	1,005731E1
2,496667E-1	1,092574E1
2,663111E-1	1,154400E1
2,829556E-1	1,154400E1
2,996000E-1	1,110931E1
3,162444E-1	1,041541E1
3,328889E-1	9,497327E0
3,495333E-1	8,574899E0
3,662889E-1	6,899794E0
3,829333E-1	4,749695E0
3,995778E-1	1,859874E0
4,162222E-1	7,161599E-1
4,328667E-1	7,161599E-1
4,495111E-1	7,161599E-1
4,661556E-1	7,161599E-1
4,828000E-1	7,161599E-1
4,994444E-1	7,161599E-1
5,160889E-1	7,161599E-1
5,327333E-1	7,161599E-1
5,493778E-1	7,161599E-1
5,660222E-1	7,161599E-1
5,826667E-1	7,161599E-1
5,993111E-1	7,161599E-1
6,159556E-1	7,161599E-1
6,326000E-1	7,161599E-1
6,492444E-1	7,161599E-1
6,658889E-1	2,399963E0
6,825333E-1	4,499527E0
6,991778E-1	5,643152E0
7,158222E-1	7,256248E0
7,324667E-1	7,926927E0
7,491111E-1	8,810316E0
7,657556E-1	8,977011E0
7,824000E-1	8,803859E0
7,990444E-1	8,207618E0
8,156889E-1	7,355077E0
8,323333E-1	6,293640E0
8,489778E-1	5,053541E0
8,656222E-1	2,434864E0
8,822667E-1	1,134838E0
8,989111E-1	9,667483E-1
9,155556E-1	9,667483E-1
9,322000E-1	9,667483E-1
9,488444E-1	9,667483E-1
9,654889E-1	9,667483E-1
9,821333E-1	9,667483E-1
9,987778E-1	9,667483E-1
1,015422E0	9,667483E-1
1,032067E0	9,667483E-1
1,048711E0	9,667483E-1
1,065356E0	9,667483E-1
1,082000E0	1,050795E0
1,098644E0	2,981898E0
1,115289E0	4,865410E0
1,131933E0	5,980199E0
1,148689E0	6,783974E0
1,165333E0	7,371302E0
1,181978E0	7,496960E0
1,198622E0	7,287490E0
1,215267E0	6,690092E0
1,231911E0	5,761089E0
1,248556E0	4,528407E0
1,265200E0	1,982200E0
1,281844E0	1,511854E0
1,298489E0	1,049256E0
1,315133E0	1,049256E0
1,331778E0	1,006557E0
1,348422E0	9,639200E-1
1,365067E0	9,639200E-1
1,381711E0	9,639200E-1
1,398356E0	9,639200E-1
1,415000E0	9,639200E-1
1,431644E0	9,639200E-1
1,448289E0	2,183239E0
1,464933E0	3,673727E0
1,481578E0	4,777670E0
1,498222E0	5,163814E0
1,514867E0	5,592735E0
1,531511E0	5,592735E0
1,548156E0	5,129272E0
1,564800E0	4,067520E0
1,581444E0	2,750454E0
1,598089E0	1,137340E0
1,614733E0	1,137340E0
1,631378E0	1,137340E0
1,648022E0	1,137340E0
1,664667E0	1,137340E0
1,681311E0	1,137340E0
1,697956E0	1,137340E0
1,714600E0	1,137340E0
1,731244E0	1,137340E0
1,747889E0	1,812286E0
1,764533E0	3,207912E0
1,781178E0	3,847801E0
1,797822E0	4,227036E0
1,814467E0	4,227036E0
1,831111E0	3,718573E0
1,847756E0	2,992857E0
1,864400E0	1,179452E0
1,881044E0	6,305224E-1
1,897689E0	7,963056E-1
1,914333E0	7,963056E-1
1,930978E0	7,963056E-1
1,947733E0	7,963056E-1
1,964378E0	7,963056E-1
1,981022E0	7,963056E-1
1,997667E0	1,089620E0
2,014311E0	2,471364E0
2,030956E0	3,186804E0
2,047600E0	3,568483E0
2,064244E0	3,317174E0
2,080889E0	2,646417E0
2,097533E0	2,013967E0
2,114178E0	1,213535E0
2,130822E0	9,199991E-1
2,147467E0	9,199991E-1
2,164111E0	9,199991E-1
2,180756E0	9,199991E-1
2,197400E0	9,199991E-1
2,214044E0	9,199991E-1
2,230689E0	1,799057E0
2,247333E0	2,509531E0
