	masa_A
t	θ
0,000000E0	1,138936E1
1,664444E-2	1,121203E1
3,328889E-2	1,121203E1
4,993333E-2	1,074886E1
6,657778E-2	1,008796E1
8,322222E-2	9,567173E0
9,986667E-2	8,549431E0
1,165111E-1	7,661878E0
1,331556E-1	6,546350E0
1,498000E-1	5,079165E0
1,664444E-1	3,516669E0
1,830889E-1	1,363885E0
1,997333E-1	-1,210307E0
2,163778E-1	-1,210307E0
2,330222E-1	-1,210307E0
2,496667E-1	-1,210307E0
2,663111E-1	-1,210307E0
2,829556E-1	-1,210307E0
2,996000E-1	-1,210307E0
3,162444E-1	-1,210307E0
3,328889E-1	-1,210307E0
3,495333E-1	-1,210307E0
3,662889E-1	-1,210307E0
3,829333E-1	-1,210307E0
3,995778E-1	-1,210307E0
4,162222E-1	-1,210307E0
4,328667E-1	-1,210307E0
4,495111E-1	-1,210307E0
4,661556E-1	-1,210307E0
4,828000E-1	-1,210307E0
4,994444E-1	2,294276E-1
5,160889E-1	1,800661E0
5,327333E-1	3,310113E0
5,493778E-1	5,000453E0
5,660222E-1	5,751623E0
5,826667E-1	6,430808E0
5,993111E-1	6,910242E0
6,159556E-1	7,194172E0
6,326000E-1	7,194172E0
6,492444E-1	6,985225E0
6,658889E-1	6,501427E0
6,825333E-1	5,815083E0
6,991778E-1	5,110206E0
7,158222E-1	4,101609E0
7,324667E-1	3,193106E0
7,491111E-1	1,124429E0
7,657556E-1	-1,163897E0
7,824000E-1	-1,163897E0
7,990444E-1	-1,163897E0
8,156889E-1	-1,163897E0
8,323333E-1	-1,163897E0
8,489778E-1	-1,163897E0
8,656222E-1	-1,163897E0
8,822667E-1	-1,163897E0
8,989111E-1	-1,163897E0
9,155556E-1	-1,163897E0
9,322000E-1	-1,163897E0
9,488444E-1	-1,163897E0
9,654889E-1	-1,163897E0
9,821333E-1	-1,163897E0
9,987778E-1	-1,163897E0
1,015422E0	-1,163897E0
1,032067E0	-1,163897E0
1,048711E0	-1,163897E0
1,065356E0	1,947577E-1
1,082000E0	1,624136E0
1,098644E0	2,819157E0
1,115289E0	3,997139E0
1,131933E0	4,810795E0
1,148689E0	5,498148E0
1,165333E0	5,668146E0
1,181978E0	5,668146E0
1,198622E0	5,240140E0
1,215267E0	4,691806E0
1,231911E0	3,643436E0
1,248556E0	2,480221E0
1,265200E0	9,540226E-1
1,281844E0	-8,288561E-1
1,298489E0	-1,420596E0
1,315133E0	-1,420596E0
1,331778E0	-1,420596E0
1,348422E0	-1,420596E0
1,365067E0	-1,420596E0
1,381711E0	-1,420596E0
1,398356E0	-1,420596E0
1,415000E0	-1,420596E0
1,431644E0	-1,420596E0
1,448289E0	-1,420596E0
1,464933E0	-1,420596E0
1,481578E0	-1,420596E0
1,498222E0	-1,420596E0
1,514867E0	-1,420596E0
1,531511E0	-1,420596E0
1,548156E0	-1,365266E-1
1,564800E0	1,385147E0
1,581444E0	2,681817E0
1,598089E0	3,527437E0
1,614733E0	3,999463E0
1,631378E0	3,999463E0
1,648022E0	3,999463E0
1,664667E0	3,150716E0
1,681311E0	2,519131E0
1,697956E0	1,749902E0
1,714600E0	7,214431E-1
1,731244E0	-5,963281E-1
1,747889E0	-1,838962E0
1,764533E0	-1,838962E0
1,781178E0	-1,838962E0
1,797822E0	-1,838962E0
