	masa_B
t	θ
0,000000E0	4,248082E0
1,664444E-2	4,248082E0
3,328889E-2	4,248082E0
4,993333E-2	4,248082E0
6,657778E-2	4,248082E0
8,322222E-2	4,248082E0
9,986667E-2	4,248082E0
1,165111E-1	4,248082E0
1,331556E-1	4,252166E0
1,498000E-1	4,256257E0
1,664444E-1	4,256257E0
1,830889E-1	4,760303E0
1,997333E-1	7,366525E0
2,163778E-1	9,003525E0
2,330222E-1	1,009973E1
2,496667E-1	1,142779E1
2,663111E-1	1,241771E1
2,829556E-1	1,319595E1
2,996000E-1	1,384427E1
3,162444E-1	1,384427E1
3,328889E-1	1,389813E1
3,495333E-1	1,381776E1
3,661778E-1	1,326902E1
3,828222E-1	1,253203E1
3,994667E-1	1,130779E1
4,161111E-1	1,005130E1
4,327556E-1	8,325055E0
4,494000E-1	6,810059E0
4,660444E-1	3,096168E0
4,826889E-1	3,533497E0
4,993333E-1	3,533497E0
5,159778E-1	3,533497E0
5,326222E-1	3,533497E0
5,492667E-1	3,533497E0
5,659111E-1	3,533497E0
5,825556E-1	3,533497E0
5,992000E-1	3,533497E0
6,159556E-1	3,533497E0
6,326000E-1	3,533497E0
6,492444E-1	3,533497E0
6,658889E-1	3,533497E0
6,825333E-1	3,533497E0
6,991778E-1	3,533497E0
7,158222E-1	4,769490E0
7,324667E-1	6,444646E0
7,491111E-1	7,980210E0
7,657556E-1	9,023581E0
7,824000E-1	9,862037E0
7,990444E-1	1,067900E1
8,156889E-1	1,067900E1
8,323333E-1	1,067900E1
8,489778E-1	9,843088E0
8,656222E-1	9,196649E0
8,822667E-1	8,420214E0
8,989111E-1	6,622542E0
9,155556E-1	4,174310E0
9,322000E-1	3,361962E0
9,488444E-1	3,151280E0
9,654889E-1	3,151280E0
9,821333E-1	3,151280E0
9,987778E-1	3,151280E0
1,015422E0	3,151280E0
1,032067E0	3,151280E0
1,048711E0	3,151280E0
1,065356E0	3,151280E0
1,082000E0	3,151280E0
1,098644E0	3,151280E0
1,115289E0	3,151280E0
1,131933E0	4,276831E0
1,148578E0	6,151387E0
1,165222E0	7,152466E0
1,181867E0	8,560172E0
1,198511E0	8,787449E0
1,215156E0	9,115508E0
1,231800E0	9,115508E0
1,248444E0	9,052167E0
1,265089E0	8,614902E0
1,281733E0	6,567410E0
1,298378E0	4,340508E0
1,315022E0	3,616318E0
1,331667E0	3,616318E0
1,348311E0	3,616318E0
1,364956E0	3,616318E0
1,381600E0	3,616318E0
1,398244E0	3,616318E0
1,415000E0	3,616318E0
1,431644E0	3,616318E0
1,448289E0	3,616318E0
1,464933E0	3,616318E0
1,481578E0	4,336308E0
1,498222E0	5,391283E0
1,514867E0	6,291567E0
1,531511E0	6,842947E0
1,548156E0	7,063149E0
1,564800E0	7,063149E0
1,581444E0	6,493433E0
1,598089E0	5,501691E0
1,614733E0	4,229717E0
1,631378E0	3,225016E0
1,648022E0	3,169591E0
1,664667E0	3,169591E0
1,681311E0	3,169591E0
1,697956E0	3,169591E0
1,714600E0	3,169591E0
1,731244E0	3,169591E0
1,747889E0	3,169591E0
1,764533E0	3,169591E0
1,781178E0	4,110929E0
1,797822E0	5,225594E0
1,814467E0	5,788713E0
1,831111E0	6,009614E0
1,847756E0	6,236363E0
1,864400E0	5,843954E0
1,881044E0	5,457040E0
1,897689E0	4,395891E0
1,914333E0	2,950689E0
1,930978E0	2,834172E0
1,947622E0	2,834172E0
1,964267E0	2,834172E0
1,980911E0	2,834172E0
1,997556E0	2,834172E0
2,014200E0	2,834172E0
2,030844E0	3,218782E0
2,047489E0	4,225624E0
2,064133E0	4,838651E0
2,080778E0	5,115086E0
2,097422E0	5,115086E0
2,114067E0	4,954046E0
2,130711E0	4,395891E0
2,147356E0	3,502049E0
2,164000E0	2,670508E0
2,180644E0	2,393060E0
2,197400E0	2,393060E0
2,214044E0	2,393060E0
2,230689E0	2,393060E0
2,247333E0	2,393060E0
2,263978E0	2,892377E0
2,280622E0	3,723559E0
2,297267E0	4,395891E0
2,313911E0	4,451266E0
2,330556E0	4,340508E0
2,347200E0	3,675305E0
2,363844E0	3,117178E0
2,380489E0	2,562026E0
2,397133E0	2,284263E0
2,413778E0	2,284263E0
2,430422E0	2,284263E0
2,447067E0	2,284263E0
2,463711E0	2,395382E0
2,480356E0	3,061688E0
2,497000E0	3,228142E0
2,513644E0	3,394541E0
2,530289E0	3,394541E0
2,546933E0	2,562026E0
2,563578E0	2,562026E0
2,580222E0	2,562026E0
2,596867E0	2,562026E0
2,613511E0	2,562026E0
2,630156E0	2,784151E0
2,646800E0	2,950689E0
