	masa_A
t	θ
0,000000E0	1,253910E1
1,664444E-2	1,218477E1
3,328889E-2	1,159434E1
4,993333E-2	1,089829E1
6,657778E-2	1,006559E1
8,322222E-2	8,622972E0
9,986667E-2	7,018242E0
1,165111E-1	5,120784E0
1,331556E-1	2,280366E0
1,498000E-1	3,378700E-1
1,664444E-1	3,002160E-1
1,830889E-1	3,002160E-1
1,997333E-1	3,002160E-1
2,163778E-1	3,002160E-1
2,330222E-1	3,002160E-1
2,496667E-1	3,002160E-1
2,663111E-1	3,002160E-1
2,829556E-1	3,002160E-1
2,996000E-1	3,002160E-1
3,162444E-1	3,002160E-1
3,328889E-1	3,002160E-1
3,495333E-1	3,002160E-1
3,661778E-1	3,002160E-1
3,828222E-1	3,002160E-1
3,994667E-1	6,710426E-1
4,161111E-1	3,230570E0
4,327556E-1	5,433868E0
4,494000E-1	6,612019E0
4,660444E-1	7,950882E0
4,826889E-1	8,725730E0
4,993333E-1	9,099879E0
5,159778E-1	9,099879E0
5,326222E-1	8,861636E0
5,492667E-1	8,155974E0
5,659111E-1	6,757562E0
5,825556E-1	5,315164E0
5,992000E-1	2,944647E0
6,158444E-1	6,675807E-1
6,324889E-1	8,132669E-1
6,491333E-1	8,132669E-1
6,657778E-1	8,132669E-1
6,824222E-1	8,132669E-1
6,990667E-1	8,132669E-1
7,157111E-1	8,132669E-1
7,324667E-1	8,132669E-1
7,491111E-1	8,132669E-1
7,657556E-1	8,132669E-1
7,824000E-1	8,132669E-1
7,990444E-1	8,132669E-1
8,156889E-1	2,722531E0
8,323333E-1	4,259448E0
8,489778E-1	5,019075E0
8,656222E-1	5,242473E0
8,822667E-1	4,640356E0
8,989111E-1	3,753507E0
9,155556E-1	2,299692E0
9,322000E-1	1,294743E0
9,488444E-1	1,294743E0
9,654889E-1	1,294743E0
9,821333E-1	1,294743E0
9,987778E-1	1,294743E0
1,015422E0	1,294743E0
1,032067E0	1,294743E0
1,048711E0	2,261217E0
1,065356E0	3,055293E0
1,082000E0	3,241054E0
1,098644E0	2,832295E0
1,115289E0	1,976733E0
1,131933E0	1,492740E0
1,148578E0	1,492740E0
1,165222E0	1,492740E0
1,181867E0	1,492740E0
1,198511E0	1,492740E0
1,215156E0	1,492740E0
1,231800E0	2,162813E0
1,248444E0	2,386048E0
1,265089E0	2,386048E0
1,281733E0	1,939512E0
1,298378E0	1,710592E0
1,315022E0	1,710592E0
1,331667E0	1,636368E0
1,348311E0	1,636368E0
1,364956E0	1,636368E0
1,381600E0	2,195744E0
1,398244E0	2,570353E0
1,414889E0	2,310143E0
1,431533E0	1,938252E0
1,448178E0	1,677829E0
1,464822E0	1,677829E0
1,481467E0	1,677829E0
1,498111E0	1,677829E0
1,514867E0	1,677829E0
1,531511E0	1,677829E0
1,548156E0	1,677829E0
1,564800E0	1,677829E0
1,581444E0	1,677829E0
1,598089E0	1,677829E0
1,614733E0	1,677829E0
1,631378E0	1,677829E0
1,648022E0	1,677829E0
1,664667E0	1,677829E0
1,681311E0	1,677829E0
1,697956E0	1,677829E0
1,714600E0	1,677829E0
1,731244E0	1,677829E0
1,747889E0	1,677829E0
1,764533E0	1,677829E0
1,781178E0	1,677829E0
1,797822E0	1,677829E0
1,814467E0	1,677829E0
1,831111E0	1,677829E0
1,847756E0	1,677829E0
1,864400E0	1,677829E0
1,881044E0	1,677829E0
1,897689E0	1,677829E0
1,914333E0	1,677829E0
1,930978E0	1,677829E0
1,947622E0	1,677829E0
1,964267E0	1,677829E0
1,980911E0	1,677829E0
1,997556E0	1,677829E0
2,014200E0	1,677829E0
2,030844E0	1,677829E0
2,047489E0	1,677829E0
2,064133E0	1,677829E0
2,080778E0	1,677829E0
2,097422E0	1,677829E0
2,114067E0	1,677829E0
2,130711E0	1,677829E0
2,147356E0	1,677829E0
2,164000E0	1,677829E0
2,180644E0	1,677829E0
2,197289E0	1,677829E0
2,213933E0	1,677829E0
2,230578E0	1,677829E0
