	masa_A
t	θ
0,000000E0	1,238284E1
1,664444E-2	1,201954E1
3,328889E-2	1,171114E1
4,993333E-2	1,114492E1
6,657778E-2	1,037035E1
8,322222E-2	9,770071E0
9,986667E-2	8,778542E0
1,165111E-1	7,638873E0
1,331556E-1	5,548987E0
1,498000E-1	3,452723E0
1,664444E-1	1,426144E0
1,830889E-1	2,895844E-1
1,997333E-1	2,887372E-1
2,163778E-1	2,887372E-1
2,330222E-1	2,887372E-1
2,497778E-1	2,887372E-1
2,664222E-1	2,887372E-1
2,830667E-1	2,887372E-1
2,997111E-1	2,887372E-1
3,163556E-1	2,887372E-1
3,330000E-1	2,887372E-1
3,496444E-1	2,887372E-1
3,662889E-1	2,887372E-1
3,829333E-1	2,887372E-1
3,995778E-1	2,887372E-1
4,162222E-1	2,887372E-1
4,328667E-1	2,887372E-1
4,495111E-1	2,887372E-1
4,661556E-1	2,887372E-1
4,828000E-1	2,887372E-1
4,994444E-1	8,389695E-1
5,160889E-1	2,652948E0
5,327333E-1	4,351077E0
5,493778E-1	5,586993E0
5,660222E-1	6,773016E0
5,826667E-1	7,381507E0
5,993111E-1	7,776177E0
6,159556E-1	8,069955E0
6,326000E-1	8,153814E0
6,492444E-1	8,064013E0
6,658889E-1	7,407114E0
6,825333E-1	6,637310E0
6,991778E-1	5,372493E0
7,158222E-1	4,681039E0
7,324667E-1	2,777262E0
7,491111E-1	1,631431E-1
7,657556E-1	-3,837014E-1
7,824000E-1	-3,837014E-1
7,990444E-1	-3,837014E-1
8,156889E-1	-3,837014E-1
8,323333E-1	-3,837014E-1
8,489778E-1	-3,837014E-1
8,656222E-1	-3,837014E-1
8,822667E-1	-3,837014E-1
8,989111E-1	-3,837014E-1
9,155556E-1	-3,837014E-1
9,322000E-1	-3,837014E-1
9,488444E-1	-3,837014E-1
9,654889E-1	-3,837014E-1
9,822444E-1	-3,837014E-1
9,988889E-1	-3,837014E-1
1,015533E0	-3,837014E-1
1,032178E0	3,338150E-1
1,048822E0	2,407243E0
1,065467E0	3,729682E0
1,082111E0	4,532896E0
1,098756E0	5,434601E0
1,115400E0	6,047685E0
1,132044E0	6,597093E0
1,148689E0	6,587342E0
1,165333E0	5,903231E0
1,181978E0	4,627598E0
1,198622E0	3,473145E0
1,215267E0	2,495449E0
1,231911E0	7,562904E-1
1,248556E0	-8,475972E-1
1,265200E0	-8,475972E-1
1,281844E0	-8,475972E-1
1,298489E0	-8,475972E-1
1,315133E0	-8,475972E-1
1,331778E0	-8,475972E-1
1,348422E0	-8,475972E-1
1,365067E0	-8,475972E-1
1,381711E0	-8,475972E-1
1,398356E0	-8,475972E-1
1,415000E0	-8,475972E-1
1,431644E0	-8,475972E-1
1,448289E0	-8,475972E-1
1,464933E0	-8,475972E-1
1,481578E0	-4,689726E-1
1,498222E0	1,439889E0
1,514867E0	2,426947E0
1,531511E0	3,285857E0
1,548156E0	3,882448E0
1,564800E0	4,314496E0
1,581444E0	4,697721E0
1,598089E0	4,180436E0
1,614733E0	3,666740E0
1,631378E0	3,020943E0
1,648022E0	1,614538E0
1,664667E0	-3,021281E-1
1,681311E0	-9,373965E-1
1,697956E0	-9,373965E-1
1,714600E0	-9,373965E-1
1,731244E0	-9,373965E-1
1,747889E0	-9,373965E-1
1,764533E0	-9,373965E-1
1,781289E0	-9,373965E-1
1,797933E0	-9,373965E-1
1,814578E0	-9,373965E-1
1,831222E0	-9,373965E-1
1,847867E0	-9,373965E-1
1,864511E0	-9,373965E-1
1,881156E0	3,343087E-1
1,897800E0	1,229349E0
1,914444E0	2,218823E0
1,931089E0	2,784298E0
1,947733E0	3,340941E0
1,964378E0	3,126916E0
1,981022E0	2,514030E0
1,997667E0	1,743591E0
2,014311E0	9,755397E-1
2,030956E0	-5,153599E-1
2,047600E0	-1,022931E0
2,064244E0	-1,064562E0
2,080889E0	-1,064562E0
2,097533E0	-1,064562E0
2,114178E0	-1,064562E0
2,130822E0	-1,064562E0
2,147467E0	-1,064562E0
2,164111E0	-1,064562E0
2,180756E0	-1,064562E0
2,197400E0	-1,064562E0
2,214044E0	-8,526145E-1
2,230689E0	6,332179E-1
2,247333E0	1,484558E0
2,263978E0	2,205661E0
2,280622E0	2,502848E0
2,297267E0	2,670631E0
2,313911E0	2,456758E0
2,330556E0	1,947944E0
2,347200E0	5,885116E-1
2,363844E0	-1,184704E0
2,380489E0	-1,184704E0
2,397133E0	-1,184704E0
2,413778E0	-1,184704E0
2,430422E0	-1,184704E0
2,447067E0	-1,184704E0
2,463711E0	-1,184704E0
2,480356E0	-1,184704E0
2,497000E0	-1,184704E0
2,513644E0	-1,016160E0
2,530289E0	7,997427E-2
2,546933E0	7,585289E-1
2,563578E0	1,482357E0
2,580222E0	1,482357E0
2,596867E0	1,439889E0
2,613511E0	1,013626E0
2,630267E0	-8,932118E-2
2,646911E0	-8,078311E-1
2,663556E0	-8,500985E-1
2,680200E0	-8,500985E-1
2,696844E0	-8,500985E-1
2,713489E0	-8,500985E-1
2,730133E0	-8,500985E-1
2,746778E0	-8,500985E-1
2,763422E0	-8,500985E-1
2,780067E0	-1,736132E-1
2,796711E0	6,285530E-1
2,813356E0	9,661977E-1
2,830000E0	1,050599E0
2,846644E0	1,005437E0
2,863289E0	-2,150649E-1
2,879933E0	-8,451106E-1
2,896578E0	-9,711632E-1
2,913222E0	-9,711632E-1
2,929867E0	-9,711632E-1
2,946511E0	-9,711632E-1
2,963156E0	-9,711632E-1
2,979800E0	-9,711632E-1
2,996444E0	-8,025026E-1
3,013089E0	-6,345400E-1
3,029733E0	-4,613234E-3
3,046378E0	2,056807E-1
3,063022E0	-1,731027E-1
3,079667E0	-1,145097E0
3,096311E0	-1,398441E0
3,112956E0	-1,398441E0
3,129600E0	-1,398441E0
3,146244E0	-1,398441E0
3,162889E0	-1,440661E0
3,179533E0	-1,440661E0
3,196178E0	-5,538016E-1
3,212822E0	-2,581020E-1
3,229467E0	-5,115603E-1
3,246111E0	-9,768947E-1
3,262756E0	-9,768947E-1
3,279400E0	-1,357221E0
3,296044E0	-1,357221E0
3,312689E0	-1,357221E0
3,329333E0	-1,357221E0
3,345978E0	-1,230457E0
3,362622E0	-6,387534E-1
3,379267E0	-6,387534E-1
3,395911E0	-8,500985E-1
3,412556E0	-1,272713E0
3,429311E0	-1,272713E0
3,445956E0	-1,272713E0
3,462600E0	-1,272713E0
3,479244E0	-1,272713E0
3,495889E0	-1,190483E0
3,512533E0	-9,355966E-1
3,529178E0	-6,817282E-1
3,545822E0	-6,817282E-1
3,562467E0	-9,609816E-1
3,579111E0	-1,037134E0
3,595756E0	-1,164047E0
3,612400E0	-1,164047E0
3,629044E0	-1,148483E0
3,645689E0	-8,096230E-1
3,662333E0	-6,840521E-1
3,678978E0	-7,265099E-1
3,695622E0	-9,812380E-1
3,712267E0	-1,150184E0
3,728911E0	-1,191716E0
3,745556E0	-1,146787E0
3,762200E0	-1,146787E0
3,778844E0	-8,084275E-1
3,795489E0	-7,238279E-1
3,812133E0	-9,353203E-1
3,828778E0	-1,104496E0
3,845422E0	-1,061420E0
3,862067E0	-1,061420E0
3,878711E0	-8,923649E-1
3,895356E0	-7,655629E-1
3,912000E0	-7,655629E-1
3,928644E0	-7,655629E-1
3,945289E0	-7,232939E-1
3,961933E0	-5,964822E-1
3,978578E0	-5,964822E-1
3,995222E0	-5,964822E-1
4,011867E0	-5,964822E-1
4,028511E0	-3,851170E-1
4,045156E0	-2,160170E-1
4,061800E0	-2,160170E-1
4,078444E0	-2,160170E-1
4,095089E0	-2,160170E-1
4,111733E0	-2,160170E-1
4,128378E0	-4,633643E-3
4,145022E0	3,744618E-1
4,161778E0	5,004489E-1
4,178422E0	5,417393E-1
4,195067E0	5,417393E-1
4,211711E0	5,417393E-1
4,228356E0	5,417393E-1
4,245000E0	5,417393E-1
4,261644E0	5,417393E-1
4,278289E0	5,417393E-1
