	masa_B
t	θ
3,712267E0	3,989361E0
3,728911E0	3,989361E0
3,745556E0	3,989361E0
3,762200E0	3,989361E0
3,778844E0	3,989361E0
3,795489E0	3,989361E0
3,812133E0	3,989361E0
3,828778E0	3,989361E0
3,845422E0	3,989361E0
3,862067E0	3,989361E0
3,878711E0	3,989361E0
3,895356E0	3,989361E0
3,912000E0	3,989361E0
3,928644E0	3,989361E0
3,945289E0	3,989361E0
