	masa_B
t	θ
0,000000E0	1,583584E0
1,664444E-2	1,583584E0
3,328889E-2	1,583584E0
4,993333E-2	1,608314E0
6,657778E-2	1,608314E0
8,322222E-2	1,608314E0
9,986667E-2	1,608314E0
1,165111E-1	1,608314E0
1,331556E-1	1,608314E0
1,498000E-1	1,608314E0
1,664444E-1	3,691386E0
1,830889E-1	5,591035E0
1,997333E-1	6,951139E0
2,164889E-1	8,233005E0
2,331333E-1	9,041735E0
2,497778E-1	9,532477E0
2,664222E-1	9,923777E0
2,830667E-1	1,002249E1
2,997111E-1	9,791770E0
3,163556E-1	9,045678E0
3,330000E-1	8,581745E0
3,496444E-1	7,435728E0
3,662889E-1	5,906998E0
3,829333E-1	4,293505E0
3,995778E-1	2,395290E0
4,162222E-1	1,469439E0
4,328667E-1	1,314917E0
4,495111E-1	1,314917E0
4,661556E-1	1,314917E0
4,828000E-1	1,314917E0
4,994444E-1	1,314917E0
5,160889E-1	1,314917E0
5,327333E-1	1,314917E0
5,493778E-1	1,314917E0
5,660222E-1	1,314917E0
5,826667E-1	1,314917E0
5,993111E-1	1,314917E0
6,159556E-1	1,314917E0
6,326000E-1	1,314917E0
6,492444E-1	1,314917E0
6,658889E-1	1,314917E0
6,825333E-1	4,096285E0
6,991778E-1	5,606166E0
7,158222E-1	6,524759E0
7,324667E-1	7,588065E0
7,491111E-1	8,197024E0
7,657556E-1	8,602213E0
7,824000E-1	8,647726E0
7,990444E-1	8,228500E0
8,156889E-1	7,698047E0
8,323333E-1	6,764922E0
8,489778E-1	5,328873E0
8,656222E-1	3,642758E0
8,822667E-1	2,004781E0
8,989111E-1	2,004781E0
9,155556E-1	2,004781E0
9,322000E-1	2,004781E0
9,488444E-1	2,004781E0
9,654889E-1	2,004781E0
9,821333E-1	2,004781E0
9,987778E-1	2,004781E0
1,015533E0	2,004781E0
1,032178E0	2,004781E0
1,048822E0	2,004781E0
1,065467E0	2,003916E0
1,082111E0	2,842316E0
1,098756E0	4,683834E0
1,115400E0	5,783668E0
1,132044E0	6,138880E0
1,148689E0	6,365345E0
1,165333E0	6,005035E0
1,181978E0	5,370779E0
1,198622E0	4,451023E0
1,215267E0	3,255379E0
1,231911E0	2,962665E0
1,248556E0	2,962665E0
1,265200E0	2,962665E0
1,281844E0	2,962665E0
1,298489E0	2,962665E0
1,315133E0	2,962665E0
1,331778E0	2,962665E0
1,348422E0	2,962665E0
1,365067E0	3,087963E0
1,381711E0	4,117789E0
1,398356E0	5,107976E0
1,415000E0	5,563046E0
1,431644E0	5,367569E0
1,448289E0	4,663273E0
1,464933E0	3,750495E0
1,481578E0	2,974703E0
1,498222E0	2,516602E0
1,514867E0	2,516602E0
1,531511E0	2,516602E0
1,548156E0	2,516602E0
1,564800E0	2,516602E0
1,581444E0	2,516602E0
1,598089E0	2,501502E0
1,614733E0	2,501502E0
1,631378E0	3,206216E0
1,648022E0	3,667146E0
1,664667E0	3,743925E0
1,681311E0	3,743925E0
1,697956E0	3,443158E0
1,714600E0	2,612826E0
1,731244E0	1,400840E0
1,747889E0	1,400840E0
1,764533E0	1,400840E0
1,781178E0	1,400840E0
1,797822E0	1,400840E0
1,814467E0	1,400840E0
1,831111E0	1,400840E0
1,847756E0	2,303617E0
1,864511E0	2,834855E0
1,881156E0	3,239700E0
1,897800E0	3,391525E0
1,914444E0	3,165900E0
1,931089E0	2,128509E0
1,947733E0	1,525859E0
1,964378E0	1,500856E0
1,981022E0	1,500856E0
1,997667E0	1,500856E0
2,014311E0	1,500856E0
2,030956E0	1,500856E0
2,047600E0	2,333725E0
2,064244E0	2,940176E0
2,080889E0	3,345791E0
2,097533E0	3,142201E0
2,114178E0	2,710796E0
2,130822E0	2,006915E0
2,147467E0	1,906646E0
2,164111E0	1,906646E0
2,180756E0	1,906646E0
2,197400E0	1,906646E0
2,214044E0	1,906646E0
2,230689E0	2,587737E0
2,247333E0	2,863659E0
2,263978E0	3,041842E0
2,280622E0	3,066934E0
2,297267E0	2,061557E0
2,313911E0	1,782072E0
2,330556E0	1,782072E0
2,347200E0	1,782072E0
2,363844E0	1,782072E0
2,380489E0	1,782072E0
2,397133E0	2,109019E0
2,413778E0	2,513565E0
2,430422E0	2,513565E0
2,447067E0	2,413144E0
2,463711E0	1,709064E0
2,480356E0	1,583464E0
2,497000E0	1,583464E0
