	masa_B
t	θ
0,000000E0	-1,412158E0
1,664444E-2	-1,412158E0
3,328889E-2	-1,412158E0
4,993333E-2	-1,412158E0
6,657778E-2	-1,412158E0
8,322222E-2	-1,412158E0
9,986667E-2	-1,412158E0
1,165111E-1	-1,412158E0
1,331556E-1	-1,412158E0
1,498000E-1	-1,412158E0
1,664444E-1	-1,412158E0
1,830889E-1	-1,412158E0
1,997333E-1	-1,412158E0
2,163778E-1	5,090426E-4
2,330222E-1	2,018758E0
2,496667E-1	3,587757E0
2,663111E-1	4,949972E0
2,829556E-1	6,274793E0
2,996000E-1	7,215638E0
3,162444E-1	7,659933E0
3,328889E-1	8,382730E0
3,495333E-1	8,016819E0
3,662889E-1	7,613742E0
3,829333E-1	7,119522E0
3,995778E-1	6,084905E0
4,162222E-1	5,288914E0
4,328667E-1	3,982219E0
4,495111E-1	2,575926E0
4,661556E-1	6,707783E-1
4,828000E-1	-1,216286E0
4,994444E-1	-1,340406E0
5,160889E-1	-1,247598E0
5,327333E-1	-1,247598E0
5,493778E-1	-1,247598E0
5,660222E-1	-1,247598E0
5,826667E-1	-1,247598E0
5,993111E-1	-1,247598E0
6,159556E-1	-1,247598E0
6,326000E-1	-1,247598E0
6,492444E-1	-1,247598E0
6,658889E-1	-1,247598E0
6,825333E-1	-1,247598E0
6,991778E-1	-1,247598E0
7,158222E-1	-1,247598E0
7,324667E-1	-1,272552E0
7,491111E-1	-1,272552E0
7,657556E-1	-1,272552E0
7,824000E-1	-1,499317E-1
7,990444E-1	1,581264E0
8,156889E-1	3,275426E0
8,323333E-1	4,434113E0
8,489778E-1	4,998818E0
8,656222E-1	5,711302E0
8,822667E-1	6,025597E0
8,989111E-1	6,201443E0
9,155556E-1	6,251664E0
9,322000E-1	6,251664E0
9,488444E-1	5,937128E0
9,654889E-1	5,318154E0
9,821333E-1	4,676725E0
9,987778E-1	3,342025E0
1,015422E0	1,954800E0
1,032067E0	5,497605E-1
1,048711E0	-1,447218E0
1,065356E0	-1,447218E0
1,082000E0	-1,447218E0
1,098644E0	-1,447218E0
1,115289E0	-1,447218E0
1,131933E0	-1,447218E0
1,148689E0	-1,447218E0
1,165333E0	-1,447218E0
1,181978E0	-1,447218E0
1,198622E0	-1,447218E0
1,215267E0	-1,447218E0
1,231911E0	-1,447218E0
1,248556E0	-1,447218E0
1,265200E0	-1,447218E0
1,281844E0	-1,447218E0
1,298489E0	-8,501248E-1
1,315133E0	6,036332E-1
1,331778E0	2,116097E0
1,348422E0	2,996216E0
1,365067E0	3,933704E0
1,381711E0	4,414833E0
1,398356E0	4,827204E0
1,415000E0	4,827204E0
1,431644E0	4,827204E0
1,448289E0	4,318115E0
1,464933E0	3,702560E0
1,481578E0	2,792703E0
1,498222E0	1,428282E0
1,514867E0	-1,743965E-1
1,531511E0	-1,749628E0
1,548156E0	-1,749628E0
1,564800E0	-1,749628E0
1,581444E0	-1,749628E0
1,598089E0	-1,749628E0
1,614733E0	-1,749628E0
1,631378E0	-1,749628E0
1,648022E0	-1,749628E0
1,664667E0	-1,749628E0
1,681311E0	-1,749628E0
1,697956E0	-1,724641E0
1,714600E0	-1,724641E0
1,731244E0	-1,724641E0
1,747889E0	-1,477962E0
1,764533E0	5,080580E-2
1,781178E0	1,483544E0
1,797822E0	2,486884E0
1,814467E0	2,947251E0
1,831111E0	3,432252E0
1,847756E0	3,635191E0
1,864400E0	3,635191E0
1,881156E0	3,278306E0
1,897800E0	2,365601E0
1,914444E0	1,256297E0
1,931089E0	2,264975E-1
1,947733E0	-1,452278E0
1,964378E0	-1,602493E0
1,981022E0	-1,602493E0
1,997667E0	-1,602493E0
2,014311E0	-1,602493E0
2,030956E0	-1,602493E0
2,047600E0	-1,602493E0
2,064244E0	-1,602493E0
2,080889E0	-1,602493E0
2,097533E0	-1,602493E0
2,114178E0	-1,602493E0
2,130822E0	-1,602493E0
2,147467E0	-1,101703E0
2,164111E0	2,270946E-1
2,180756E0	1,132740E0
2,197400E0	1,861978E0
2,214044E0	2,389684E0
2,230689E0	2,490156E0
2,247333E0	2,337392E0
2,263978E0	1,859530E0
2,280622E0	1,254099E0
2,297267E0	3,758268E-1
2,313911E0	-1,073374E0
2,330556E0	-1,922002E0
2,347200E0	-1,922002E0
2,363844E0	-1,922002E0
2,380489E0	-1,922002E0
2,397133E0	-1,922002E0
2,413778E0	-1,922002E0
2,430422E0	-1,922002E0
2,447067E0	-1,922002E0
2,463711E0	-1,922002E0
2,480356E0	-1,922002E0
2,497000E0	-1,922002E0
2,513644E0	-8,762877E-1
2,530289E0	1,007793E-1
2,546933E0	9,549759E-1
2,563578E0	1,281966E0
2,580222E0	1,432665E0
2,596867E0	1,055886E0
2,613511E0	6,781232E-1
2,630156E0	-2,497954E-1
2,646800E0	-1,051613E0
2,663444E0	-1,626106E0
2,680200E0	-1,925357E0
2,696844E0	-1,925357E0
2,713489E0	-1,925357E0
2,730133E0	-1,925357E0
2,746778E0	-1,925357E0
2,763422E0	-1,925357E0
2,780067E0	-1,925357E0
2,796711E0	-1,925357E0
2,813356E0	-1,925357E0
2,830000E0	-6,767834E-1
2,846644E0	1,259540E-1
2,863289E0	7,279918E-1
2,879933E0	1,006082E0
2,896578E0	1,006082E0
2,913222E0	1,006082E0
2,929867E0	4,777822E-1
2,946511E0	-8,261915E-1
2,963156E0	-1,850376E0
2,979800E0	-1,850376E0
2,996444E0	-1,850376E0
3,013089E0	-1,850376E0
3,029733E0	-1,850376E0
3,046378E0	-1,850376E0
3,063022E0	-1,850376E0
3,079667E0	-1,850376E0
3,096311E0	-1,850376E0
3,112956E0	-3,759357E-1
3,129600E0	3,771444E-1
3,146244E0	7,547262E-1
3,162889E0	9,558138E-1
3,179533E0	9,558138E-1
3,196178E0	6,282098E-1
3,212822E0	-1,995583E-1
3,229467E0	-6,994167E-1
3,246111E0	-1,172733E0
3,262756E0	-1,172733E0
3,279400E0	-1,172733E0
3,296044E0	-1,172733E0
3,312689E0	-1,172733E0
3,329333E0	-1,172733E0
3,345978E0	-1,172733E0
3,362622E0	-7,487533E-1
3,379267E0	-7,454221E-2
3,395911E0	7,019872E-1
3,412556E0	1,028509E0
3,429200E0	9,031665E-1
3,445844E0	4,514768E-1
3,462600E0	-4,250113E-1
3,479244E0	-1,374160E0
3,495889E0	-1,374160E0
3,512533E0	-1,374160E0
