	masa_B
t	θ
0,000000E0	-4,055962E-1
1,664444E-2	-4,055962E-1
3,328889E-2	-4,055962E-1
5,004444E-2	-4,055962E-1
6,668889E-2	-4,055962E-1
8,333333E-2	-4,055962E-1
9,997778E-2	-4,055962E-1
1,166222E-1	-4,055962E-1
1,332667E-1	-4,055962E-1
1,499111E-1	-4,055962E-1
1,665556E-1	1,431435E0
1,832000E-1	3,013484E0
1,998444E-1	4,287201E0
2,164889E-1	5,457081E0
2,331333E-1	6,603909E0
2,497778E-1	6,926098E0
2,664222E-1	7,177629E0
2,830667E-1	6,981200E0
2,997111E-1	6,549120E0
3,163556E-1	6,549120E0
3,330000E-1	5,649034E0
3,496444E-1	4,303885E0
3,662889E-1	2,882103E0
3,829333E-1	8,447260E-1
3,995778E-1	-9,703589E-1
4,162222E-1	-9,703589E-1
4,328667E-1	-9,703589E-1
4,495111E-1	-9,703589E-1
4,661556E-1	-9,703589E-1
4,828000E-1	-9,703589E-1
4,994444E-1	-9,703589E-1
5,160889E-1	-9,703589E-1
5,327333E-1	-9,703589E-1
5,493778E-1	-9,703589E-1
5,660222E-1	-9,703589E-1
5,826667E-1	-9,703589E-1
5,993111E-1	-9,703589E-1
6,159556E-1	-9,703589E-1
6,326000E-1	-9,703589E-1
6,492444E-1	-9,703589E-1
6,658889E-1	-3,824694E-1
6,825333E-1	1,488714E0
6,991778E-1	2,929010E0
7,158222E-1	3,729905E0
7,324667E-1	4,701343E0
7,491111E-1	5,206445E0
7,657556E-1	5,305337E0
7,825111E-1	5,305337E0
7,991556E-1	4,676631E0
8,158000E-1	3,677263E0
8,324444E-1	2,905567E0
8,490889E-1	1,389564E0
8,657333E-1	-5,325200E-1
8,823778E-1	-9,003261E-1
8,990222E-1	-9,003261E-1
9,156667E-1	-9,003261E-1
9,323111E-1	-9,003261E-1
9,489556E-1	-9,003261E-1
9,656000E-1	-9,249204E-1
9,822444E-1	-9,249204E-1
9,988889E-1	-9,249204E-1
1,015533E0	-9,249204E-1
1,032178E0	-9,249204E-1
1,048822E0	-9,249204E-1
1,065467E0	-9,249204E-1
1,082111E0	-9,249204E-1
1,098756E0	8,276213E-1
1,115400E0	2,070328E0
1,132044E0	2,803803E0
1,148689E0	3,628196E0
1,165333E0	4,054589E0
1,181978E0	4,054589E0
1,198622E0	3,955043E0
1,215267E0	3,004317E0
1,231911E0	2,096038E0
1,248556E0	5,079237E-1
1,265200E0	-5,615200E-1
1,281844E0	-9,093042E-1
1,298489E0	-9,093042E-1
1,315133E0	-9,093042E-1
1,331778E0	-9,093042E-1
1,348422E0	-9,093042E-1
1,365067E0	-9,093042E-1
1,381711E0	-9,093042E-1
1,398356E0	-9,093042E-1
1,415000E0	-9,093042E-1
1,431644E0	-9,093042E-1
1,448289E0	-5,863634E-1
1,464933E0	1,227179E0
1,481578E0	2,099676E0
1,498222E0	2,596619E0
1,514867E0	2,867289E0
1,531511E0	2,940426E0
1,548156E0	2,618050E0
1,564800E0	2,073021E0
1,581556E0	4,573325E-1
1,598200E0	-8,347838E-1
1,614844E0	-1,052858E0
1,631489E0	-1,052858E0
1,648133E0	-1,052858E0
1,664778E0	-1,052858E0
1,681422E0	-1,052858E0
1,698067E0	-1,052858E0
1,714711E0	-1,052858E0
1,731356E0	-1,052858E0
1,748000E0	-1,052858E0
1,764644E0	-6,436875E-2
1,781289E0	1,404052E0
1,797933E0	1,851886E0
1,814578E0	2,148454E0
1,831222E0	2,222980E0
1,847867E0	2,049074E0
1,864511E0	1,252013E0
1,881156E0	-2,129556E-1
1,897800E0	-7,803649E-1
1,914444E0	-7,803649E-1
1,931089E0	-7,803649E-1
1,947733E0	-7,803649E-1
1,964378E0	-7,803649E-1
1,981022E0	-7,803649E-1
1,997667E0	-7,803649E-1
2,014311E0	-7,803649E-1
2,030956E0	-7,803649E-1
2,047600E0	5,057260E-1
2,064244E0	1,274637E0
2,080889E0	1,844676E0
2,097533E0	2,068536E0
2,114178E0	1,845474E0
2,130822E0	1,000182E0
2,147467E0	9,857851E-3
2,164111E0	-3,846088E-1
2,180756E0	-3,846088E-1
2,197400E0	-3,846088E-1
2,214044E0	-3,846088E-1
2,230689E0	-3,846088E-1
2,247333E0	-3,846088E-1
2,263978E0	-3,846088E-1
2,280622E0	-3,846088E-1
2,297267E0	6,280441E-1
2,313911E0	1,301116E0
2,330556E0	1,649291E0
2,347200E0	1,773410E0
2,363844E0	1,500329E0
2,380489E0	8,786931E-1
2,397133E0	5,940340E-2
2,413778E0	5,940340E-2
2,430533E0	5,940340E-2
2,447178E0	5,940340E-2
2,463822E0	5,940340E-2
2,480467E0	5,940340E-2
2,497111E0	5,940340E-2
2,513756E0	4,309816E-1
2,530400E0	9,531472E-1
2,547044E0	1,823053E0
2,563689E0	1,947148E0
2,580333E0	1,524496E0
2,596978E0	8,783126E-1
2,613622E0	2,324208E-1
2,630267E0	2,324208E-1
2,646911E0	2,324208E-1
2,663556E0	2,324208E-1
2,680200E0	2,324208E-1
2,696844E0	2,324208E-1
2,713489E0	6,527689E-1
2,730133E0	1,122000E0
2,746778E0	1,492565E0
2,763422E0	1,566664E0
2,780067E0	1,219776E0
2,796711E0	6,519249E-1
2,813356E0	3,554437E-1
2,830000E0	3,554437E-1
2,846644E0	3,554437E-1
2,863289E0	3,554437E-1
2,879933E0	3,554437E-1
2,896578E0	5,526756E-1
2,913222E0	1,195091E0
2,929867E0	1,367876E0
2,946511E0	1,293828E0
2,963156E0	8,988390E-1
2,979800E0	5,033304E-1
2,996444E0	5,033304E-1
3,013089E0	5,033304E-1
3,029733E0	5,033304E-1
3,046378E0	5,033304E-1
3,063022E0	5,773479E-1
3,079667E0	1,193548E0
3,096311E0	1,465337E0
3,112956E0	1,465337E0
3,129600E0	1,218726E0
3,146244E0	1,021844E0
3,163000E0	1,021844E0
3,179644E0	1,021844E0
3,196289E0	1,021844E0
3,212933E0	1,021844E0
3,229578E0	1,490637E0
3,246222E0	8,752806E-1
3,262867E0	7,266284E-1
3,279511E0	7,266284E-1
3,296156E0	7,266284E-1
3,312800E0	7,266284E-1
3,329444E0	7,266284E-1
3,346089E0	1,593424E0
3,362733E0	1,792793E0
3,379378E0	1,370829E0
3,396022E0	1,072584E0
3,412667E0	1,072584E0
3,429311E0	1,072584E0
3,445956E0	1,072584E0
3,462600E0	1,665455E0
3,479244E0	1,838314E0
3,495889E0	1,220302E0
3,512533E0	8,741490E-1
3,529178E0	8,741490E-1
3,545822E0	8,741490E-1
3,562467E0	8,741490E-1
3,579111E0	8,741490E-1
3,595756E0	8,741490E-1
3,612400E0	8,741490E-1
3,629044E0	8,741490E-1
3,645689E0	8,741490E-1
3,662333E0	8,741490E-1
3,678978E0	8,741490E-1
3,695622E0	8,741490E-1
3,712267E0	8,741490E-1
3,728911E0	8,741490E-1
